Article ID	Year	Word Count	Archi Count	Archi Y/N	Archi Words	Ocean Count	Ocean Y/N	Ocean Words	Island Count	Island Y/N	Island Words	Continent Count	Continent Y/N	Continent Words	Water Count	Water Y/N	Sea Count	Sea Y/N	Mainland Count	Mainland Y/N	Mainland Words	Insular Count	Insular Y/N	Insular Words	Transnational Count	Transnational Y/N	Transnational Words	Pacific Count	Pacific Y/N	Pacific Words	Atlantic Count	Atlantic Y/N	Atlantic Words
2005_77_2_409-411_00770409br	2005	12186	0	0	[]	0	0	[]	2	1	['island', 'Island']	2	1	['Continental', 'continents']	0	0	0	0	0	0	[]	0	0	[]	2	1	['transnationalization', 'transnational']	0	0	[]	2	1	['Transatlantic', 'transatlantic']
2005_77_2_435-448_00770435br	2005	5413	0	0	[]	1	1	['Oceans']	1	1	['island']	1	1	['Continental']	0	0	1	1	0	0	[]	0	0	[]	1	1	['transnational']	1	1	['Pacific']	1	1	['transatlantic']
2005_77_2_449-450_00770449	2005	497	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_3_451-481_00770451	2005	11771	0	0	[]	1	1	['ocean']	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_3_483-509_00770483	2005	10618	0	0	[]	0	0	[]	0	0	[]	4	1	['continent', 'Continental', 'continent', 'continents']	1	1	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
2005_77_3_511-539_00770511	2005	11664	0	0	[]	0	0	[]	28	1	['Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island', 'Island']	2	1	['continents', 'continents']	0	0	3	1	0	0	[]	0	0	[]	1	1	['Transnationalism']	1	1	['Pacific']	0	0	[]
2005_77_3_541-561_00770541	2005	8858	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	0	0	0	0	[]	0	0	[]	0	0	[]	1	1	['Pacific']	0	0	[]
2005_77_3_563-589_00770563	2005	11384	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	3	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
2005_77_3_591-619_00770591	2005	11994	0	0	[]	0	0	[]	0	0	[]	1	1	['continental']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_3_621-636_00770621	2005	6188	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	1	1	['transnational']	0	0	[]	0	0	[]
2005_77_3_637-639_00770637br	2005	8647	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
2005_77_3_657-663_00770657br	2005	2334	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_3_665-667_00770665	2005	834	0	0	[]	0	0	[]	1	1	['Island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_4_669-698_0669	2005	8827	0	0	[]	0	0	[]	1	1	['Island']	0	0	[]	1	1	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_4_699-728_0699	2005	9313	0	0	[]	1	1	['ocean']	0	0	[]	0	0	[]	1	1	7	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_4_729-760_0729	2005	9628	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	1	1	['Transnationality']	0	0	[]	0	0	[]
2005_77_4_761-785_0761	2005	8191	0	0	[]	0	0	[]	1	1	['Island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_4_787-813_0787	2005	8403	0	0	[]	0	0	[]	1	1	['Island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2005_77_4_815-845_0815	2005	9352	1	1	['archipelagos']	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	2	1	['transnational', 'Transnational']	2	1	['Pacific', 'Pacific']	0	0	[]
2005_77_4_847-849_0847br	2005	9079	0	0	[]	0	0	[]	1	1	['Island']	1	1	['continental']	0	0	1	1	0	0	[]	0	0	[]	3	1	['transnational', 'transnationalism', 'transnationalism']	0	0	[]	5	1	['Atlantic', 'Atlantic', 'transatlantic', 'Atlantic', 'Atlantic']
2005_77_4_873-881_0873br	2005	2513	0	0	[]	0	0	[]	0	0	[]	1	1	['Continental']	0	0	0	0	0	0	[]	0	0	[]	1	1	['transnationality']	0	0	[]	0	0	[]
